VPHAS-OB1,RAJ2000,DEJ2000,umag,gmag,rmag,r2mag,imag,Hamag,Jmag,Hmag,Kmag,logTeff,A0,Rv,mu,chi2,OB,Halpha,SUB,LUM
1350,155.426391,-58.468817,19.659,18.799,16.889,16.884,15.755,16.468,13.58,12.942,12.599,4.314,6.548,3.91,12.89,2.04,1,0,0,0
1353,155.450666,-58.461775,16.445,15.989,14.301,14.296,13.268,13.88,11.263,10.671,10.338,4.411,6.235,4.094,11.53,1.88,1,0,0,0
1354,156.253978,-57.793577,17.138,16.805,15.029,15.048,13.972,14.617,12.012,11.423,11.132,4.612,6.372,3.925,14.56,2.47,1,0,0,0
1355,155.456786,-58.457431,16.038,15.689,14.123,14.092,13.156,13.712,11.387,10.898,10.621,4.436,5.661,3.891,12.14,3.38,1,0,0,0
1356,155.995961,-58.013455,15.322,15.252,13.731,13.742,12.83,13.349,11.106,10.583,10.335,4.598,5.682,4.045,13.66,2.07,1,0,0,0
1357,156.739454,-57.376745,16.77,16.592,15.317,15.33,14.569,14.892,13.159,12.688,12.405,4.311,4.614,4.079,12.91,0.64,1,0,0,0
1361,155.470159,-58.453988,16.273,16.153,14.882,14.878,14.135,14.558,12.79,12.418,12.217,4.381,4.47,3.774,13.34,1.23,1,0,0,0
1368,156.951504,-57.204094,18.635,18.646,17.298,17.291,16.58,16.942,15.177,14.699,14.553,4.495,4.803,3.888,16.75,1.65,1,0,1,0
1370,155.39739,-58.527276,13.698,13.692,12.576,12.579,11.915,12.278,10.727,10.435,10.225,4.357,3.983,3.792,11.18,1.36,1,0,0,1
1371,156.963102,-57.203278,19.242,18.938,17.545,17.576,16.883,17.166,15.672,15.174,14.874,4.296,4.216,3.528,15.45,5.56,1,0,0,0
1372,155.525101,-58.426954,16.119,15.933,14.682,14.673,13.938,14.371,12.624,12.267,12.073,4.342,4.32,3.703,12.86,1.93,1,0,0,0
1373,155.562421,-58.400412,17.868,17.21,15.48,15.47,14.435,15.097,12.508,11.943,11.665,4.338,5.951,3.829,12.22,4.18,1,0,0,0
1374,155.636051,-58.342219,15.854,15.532,13.931,13.93,12.97,13.555,11.326,10.782,10.542,4.499,5.61,3.749,12.75,2.14,1,0,0,0
1377,155.857991,-58.16764,17.721,17.257,15.787,15.781,14.917,15.445,13.45,13.021,12.869,4.318,4.764,3.535,13.37,4.72,1,0,0,0
1378,155.846735,-58.179456,13.849,13.988,12.953,12.924,12.293,12.628,11.285,11.042,10.899,4.467,3.752,3.536,12.96,3.9,1,0,0,0
1379,156.129163,-57.943391,15.741,15.798,14.597,14.585,13.872,14.257,12.647,12.294,12.103,4.485,4.368,3.738,14.29,1.04,1,0,0,0
1380,156.137824,-57.939641,15.083,15.182,14.034,14.037,13.349,13.717,12.162,11.812,11.7,4.479,4.192,3.724,13.8,4.18,1,0,0,0
1382,155.437388,-58.52268,15.912,15.497,13.906,13.92,12.98,13.537,11.162,10.689,10.398,4.378,5.602,3.907,11.36,3.37,1,0,0,1
1384,156.35486,-57.763989,20.558,19.82,17.907,17.898,16.794,17.514,14.544,13.931,13.635,4.369,6.695,3.979,14.34,3.08,1,0,0,0
1386,155.442852,-58.524899,17.662,17.24,15.631,15.639,14.67,15.255,12.836,12.327,12.085,4.396,5.713,3.904,13.17,3.46,1,0,0,0
1389,155.631434,-58.382449,17.548,16.91,15.183,15.183,14.134,14.784,12.3,11.776,11.524,4.371,5.812,3.672,12.4,5.0,1,0,0,0
1391,156.349778,-57.781864,20.132,19.429,17.676,17.66,16.635,17.297,14.712,14.134,13.853,4.313,5.936,3.832,14.19,1.35,1,0,0,0
1392,155.984732,-58.092904,19.28,18.619,16.879,16.888,15.866,16.498,13.899,13.27,12.97,4.302,6.017,3.985,13.21,0.81,1,0,0,0
1395,155.418742,-58.561215,15.054,15.113,14.014,14.021,13.386,13.739,12.218,11.972,11.774,4.388,3.906,3.736,13.03,3.02,1,0,0,0
1399,156.043636,-58.054545,19.987,19.257,17.436,17.438,16.391,17.04,14.402,13.675,13.396,4.301,6.201,3.959,13.62,1.75,1,0,0,0
1402,156.263868,-57.880922,15.912,15.977,14.861,14.876,14.211,14.575,13.113,12.815,12.687,4.424,3.906,3.602,14.27,1.88,1,0,0,0
1408,156.613943,-57.609825,15.229,14.975,13.46,13.479,12.621,13.123,11.168,10.82,10.615,4.499,4.926,3.443,12.9,2.43,1,0,0,0
1409,156.455114,-57.750376,18.393,17.978,16.522,16.532,15.663,15.88,14.171,13.714,13.397,4.306,4.893,3.76,13.86,0.99,1,1,0,0
1414,155.563405,-58.514873,17.42,16.727,14.849,14.83,13.714,14.417,11.597,10.972,10.63,4.395,6.583,3.911,11.65,1.86,1,0,0,0
1418,156.445879,-57.780887,19.271,19.076,17.79,17.764,17.072,17.457,15.838,15.301,14.981,4.316,4.385,3.831,15.66,1.39,1,0,0,0
