_RAJ2000,_DEJ2000,Cluster,MG,ymag,e_ymag,b-y,e_b-y,y-Ha,e_y-Ha,WHa05,WHa06,WHa07,vsini,e_vsini,Teff,e_Teff,logg,e_logg,loggP,Mass,e_Mass,Rad,e_Rad,Vc,SB?,Code,clean,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag
118.8754583,-27.88425,NGC 2483,151,11.873,0.014,0.186,0.021,0.306,0.036,,,,,,,,,,,,,,,,,B,false,,,,,,,11.69,0.0,11.49,0.0,11.061,11.109,11.042,8.693,11.287,11.154,11.131,0.023,0.021,0.128,,0.026,0.023,0.027
118.87725,-27.96625,NGC 2483,297,11.922,0.014,0.198,0.021,0.319,0.036,,,,,,,,,,,,,,,,,B,false,,,,,11.63,0.0,11.77,0.0,11.61,0.0,11.394,11.454,11.992,8.101,11.474,11.422,11.413,0.023,0.022,0.354,,0.024,0.022,0.021
118.8805417,-27.8246389,NGC 2483,51,13.66,0.027,0.36,0.037,0.54,0.049,,,,,,,,,,,,,,,,,O,false,14.14,0.0,13.93,0.0,13.11,0.0,13.33,0.0,13.03,0.0,12.103,12.173,12.27,9.085,12.709,12.297,12.26,0.024,0.023,0.369,,0.026,0.022,0.026
118.88275,-27.8280556,NGC 2483,60,11.834,0.014,0.157,0.02,0.255,0.036,,,,,,,,,,,,,,,,,B,false,12.12,0.0,,,11.56,0.0,,,,,11.106,11.154,11.571,8.872,11.295,11.175,11.162,0.023,0.021,0.21,,0.024,0.022,0.019
118.8872083,-27.9020556,NGC 2483,187,13.858,0.03,0.439,0.042,0.663,0.052,,,,,,,,,,,,,,,,,O,false,14.46,0.0,14.16,0.0,,,13.48,0.0,13.11,0.0,12.018,12.103,12.679,8.993,12.591,12.211,12.186,0.024,0.022,0.51,,0.026,0.023,0.024
118.8882083,-27.9446111,NGC 2483,262,14.3,0.036,0.434,0.05,0.581,0.06,,,,,,,,,,,,,,,,,O,true,14.86,0.0,14.62,0.0,13.73,0.0,13.94,0.0,13.56,0.0,12.531,12.568,11.86,8.461,13.003,12.68,12.663,0.025,0.026,0.321,,0.023,0.023,0.024
118.8910833,-27.8995556,NGC 2483,183,14.162,0.034,0.568,0.048,0.779,0.056,,,,,,,,,,,,,,,,,O,false,15.38,0.0,14.61,0.0,,,13.69,0.0,13.24,0.0,11.936,11.991,12.079,8.774,12.529,12.101,12.009,0.024,0.022,0.368,,0.024,0.023,0.027
118.8915833,-27.8409722,NGC 2483,85,12.91,0.02,0.247,0.028,0.34,0.042,,,,,,,,,,,,,,,,,B,false,12.87,0.0,13.05,0.0,12.58,0.0,12.71,0.0,12.51,0.0,12.116,12.13,12.603,8.735,12.257,12.171,12.158,0.024,0.022,,,0.023,0.022,0.021
118.8930833,-27.9645,NGC 2483,292,13.707,0.027,0.255,0.036,0.388,0.05,,,,,,,,,,,,,,,,,Be?,true,13.99,0.0,13.85,0.0,13.33,0.0,13.47,0.0,13.24,0.0,12.636,12.691,12.317,8.953,12.914,12.762,12.728,0.023,0.026,0.476,,0.023,0.023,0.033
118.893625,-27.8249167,NGC 2483,53,13.734,0.028,0.241,0.037,0.383,0.051,,,,,,,,,,,,,,,,,Be?,true,14.26,0.0,13.89,0.0,13.34,0.0,13.49,0.0,13.25,0.0,12.547,12.576,12.213,8.967,12.85,12.685,12.642,0.024,0.025,0.497,,0.024,0.025,0.03
118.9028333,-27.8559444,NGC 2483,105,13.342,0.024,0.288,0.033,0.367,0.047,,,,,,,,,,,,,,,,,B,false,13.36,0.0,13.51,0.0,,,13.13,0.0,12.9,0.0,12.429,12.495,12.359,8.943,12.608,12.529,12.486,0.025,0.024,0.396,,0.023,0.022,0.029
118.9042917,-27.9034722,NGC 2483,190,10.999,0.015,0.617,0.024,0.811,0.035,,,,,,,,,,,,,,,,,O,false,12.62,0.0,,,,,,,,,8.461,8.573,8.576,8.548,9.314,8.813,8.671,0.021,0.019,0.024,0.325,0.024,0.044,0.023
118.9106667,-27.8469167,NGC 2483,95,10.965,0.011,0.062,0.016,0.139,0.034,,,,,,,,,,,,,,,,,B,false,10.88,0.0,,,,,,,,,10.726,10.774,10.834,8.449,10.743,10.736,10.727,0.024,0.021,0.116,,0.023,0.023,0.021
118.911375,-27.8341667,NGC 2483,73,12.568,0.018,0.322,0.026,0.515,0.039,,,,,,,,,,,,,,,,,O,false,12.88,0.0,12.8,0.0,12.06,0.0,12.26,0.0,11.98,0.0,11.202,11.24,11.287,9.015,11.524,11.28,11.233,0.024,0.021,0.138,,0.023,0.023,0.019
