,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
1948,18.239,17.714,16.165,15.292,15.448,13.839,13.404,13.075,-1.0609499999999963,-4.072235294117639,0.1295581395348846,1.3193953488372085,1.189837209302324,umag_gmag_rmag_imag,-60.381748,16.193,4.301,4.85,2.12,5512,3.526,13.54,159.81405,1,1,0,0
1972,19.821,19.484,17.238,15.674,16.397,12.25,11.035,10.377,-2.504266666666666,-5.055294117647068,-1.495720930232555,-0.9143023255813865,0.5814186046511682,umag_gmag_rmag_imag,-59.510516,17.287,4.634,10.138,5.07,5614,5.321,13.59,160.9027,1,1,1,0
2007,19.69,19.367,17.504,16.305,16.914,13.717,12.89,12.444,-1.8551833333333354,-3.459941176470588,-1.220744186046515,-0.7598604651162857,0.4608837209302288,umag_gmag_rmag_imag,-59.612416,17.506,4.563,7.808,1.88,5751,4.742,15.07,160.928355,1,1,1,0
2014,20.433,19.99,18.438,17.543,18.424,15.958,15.139,14.911,-1.1829166666666642,0.35323529411765264,-1.7902325581395329,-2.266581395348835,-0.4763488372093021,umag_gmag_rmag_imag,-59.370887,18.447,4.331,5.537,1.53,5782,4.074,15.47,161.209144,1,0,0,0
2032,19.624,19.769,18.285,17.373,18.737,15.528,14.551,14.176,-1.8017999999999974,2.7531176470588132,-3.602581395348828,-5.258953488372077,-1.6563720930232493,umag_gmag_rmag_imag,-59.543117,18.527,4.559,6.435,6.42,5839,4.988,16.96,161.071843,1,0,1,0
2034,16.949,16.663,14.969,13.855,14.575,11.676,10.973,10.603,-1.737766666666663,-2.2402352941176473,-1.5391162790697623,-1.502790697674409,0.036325581395353135,umag_gmag_rmag_imag,-59.399034,14.955,4.57,6.878,3.1,5843,4.419,13.44,161.225755,1,0,0,0
2037,19.649,19.391,17.559,16.48,16.246,13.825,13.05,12.563,-1.7021833333333314,-8.160647058823544,0.8511627906976813,3.2219069767441937,2.3707441860465126,umag_gmag_rmag_imag,-59.55578,17.534,4.452,7.645,4.22,5849,4.988,13.95,161.07336,1,1,1,0
2047,19.562,19.087,17.439,16.469,16.564,14.542,13.898,13.533,-1.2871666666666628,-5.135294117647059,0.23418604651163233,1.6634651162790766,1.4292790697674442,umag_gmag_rmag_imag,-59.710504,17.435,4.337,6.006,0.32,5879,4.193,14.1,160.937835,1,1,0,0
2050,19.317,18.808,17.144,16.051,16.018,14.04,13.403,13.112,-1.4766166666666658,-6.7106470588235165,0.5926511627906921,2.3326279069767346,1.7399767441860425,umag_gmag_rmag_imag,-59.708517,17.04,4.423,6.338,6.55,5898,4.097,14.4,160.951741,1,1,0,0
2052,20.171,19.837,18.263,17.339,17.408,15.629,15.037,14.723,-1.3446000000000056,-5.148058823529417,0.15909302325580704,1.5742325581395202,1.415139534883713,umag_gmag_rmag_imag,-59.335458,18.242,4.429,5.672,0.49,5902,3.989,16.19,161.342209,1,1,1,0
